geoid,county_name,total_population,median_hh_income,poverty_rate,uninsured_rate,pct_poc,pct_non_hispanic_black,pct_hispanic,pct_cost_burdened,pct_severely_cost_burdened,pct_bachelors_or_higher
55001,Adams County,20928,59153.0,13.8,5.2,11.7,2.2,4.3,21.5,7.7,17.3
55003,Ashland County,16050,57645.0,16.4,6.4,18.1,0.8,2.9,34.3,8.5,22.1
55005,Barron County,46741,64619.0,9.9,6.7,8.8,1.4,3.0,27.7,7.6,22.3
55007,Bayfield County,16410,69609.0,8.9,5.9,16.1,0.6,2.0,19.9,6.8,35.0
55009,Brown County,269425,77490.0,9.8,5.5,21.9,2.5,10.0,37.5,7.8,32.4
55011,Buffalo County,13341,68722.0,8.7,4.8,5.8,0.5,2.7,27.5,7.6,22.1
55013,Burnett County,16741,61664.0,13.1,6.3,10.0,0.8,1.9,22.7,7.4,22.0
55015,Calumet County,52626,87700.0,5.7,2.7,11.9,0.9,5.6,21.5,6.4,32.5
55017,Chippewa County,66558,74009.0,9.2,4.7,7.5,1.6,1.9,29.1,7.2,24.1
55019,Clark County,34736,66250.0,12.0,21.3,9.1,0.3,6.1,26.6,6.1,13.4
55021,Columbia County,58322,82792.0,7.8,4.6,9.1,1.7,3.9,26.5,6.6,25.7
55023,Crawford County,16064,63496.0,12.6,6.8,7.1,1.4,1.9,29.2,8.2,18.3
55025,Dane County,564777,88108.0,10.5,3.6,23.3,5.1,7.6,44.0,7.4,54.4
55027,Dodge County,88818,73992.0,7.9,4.0,12.1,2.6,6.4,32.4,6.4,19.9
55029,Door County,30279,71785.0,8.7,3.8,7.8,0.4,3.9,25.9,6.9,37.1
55031,Douglas County,44197,72579.0,10.4,4.7,9.8,1.3,1.9,31.4,7.2,27.8
55033,Dunn County,45349,71785.0,10.7,4.9,9.1,0.9,2.4,37.0,9.6,29.2
55035,Eau Claire County,106328,71834.0,11.5,6.4,12.2,1.1,3.0,39.4,7.7,35.7
55037,Florence County,4617,62786.0,8.5,6.7,4.6,0.4,0.6,18.1,6.5,23.1
