geoid,measure,data_value,low_confidence_limit,high_confidence_limit
55035000302,OBESITY,28.6,23.6,34.1
55035000402,OBESITY,31.8,26.4,37.9
55035000600,OBESITY,34.0,28.3,39.7
55035001700,OBESITY,25.6,20.6,31.1
55039041500,OBESITY,43.1,37.5,49.3
55039042001,OBESITY,40.7,35.0,46.9
55055101500,OBESITY,42.2,36.1,48.6
55009001100,OBESITY,46.9,41.9,52.1
55005000900,OBESITY,39.7,33.5,46.0
55001950201,OBESITY,40.8,33.2,48.6
55009000600,OBESITY,40.6,35.6,45.6
55009000500,OBESITY,43.9,39.0,49.1
55009020600,OBESITY,41.8,36.8,47.0
55009010202,OBESITY,40.6,35.6,45.7
55007960402,OBESITY,39.5,33.3,45.8
55003940000,OBESITY,46.6,39.6,53.3
55009001200,OBESITY,48.6,43.6,53.7
55009001802,OBESITY,36.2,31.7,41.2
55009000100,OBESITY,46.7,41.6,51.8
55005001004,OBESITY,38.8,32.4,45.2
55009001600,OBESITY,48.8,43.9,53.8
55009000302,OBESITY,47.0,42.1,52.0
55009001701,OBESITY,48.0,43.2,53.2
55001950501,OBESITY,41.9,34.2,49.4
55009000900,OBESITY,49.7,44.7,54.6
55009020204,OBESITY,38.6,33.7,43.7
55007960100,OBESITY,43.6,37.0,50.0
55009000200,OBESITY,44.9,40.0,50.0
55009000700,OBESITY,45.5,40.4,50.6
55005000300,OBESITY,38.3,32.1,44.5
55009001801,OBESITY,41.4,36.4,46.4
55007960401,OBESITY,38.6,32.3,44.8
55009001400,OBESITY,46.8,41.7,51.7
55009002002,OBESITY,40.8,36.1,46.1
55009000401,OBESITY,46.7,41.7,51.7
55009001000,OBESITY,46.3,41.0,51.5
55001950100,OBESITY,36.5,29.1,43.8
55009000402,OBESITY,41.6,36.6,46.6
55005000400,OBESITY,38.5,32.4,45.0
55009001300,OBESITY,42.5,37.3,47.6
55005001003,OBESITY,37.2,31.0,43.7
55009010201,OBESITY,36.5,31.9,41.2
55001950203,OBESITY,41.1,33.4,48.8
55005000200,OBESITY,39.5,33.1,46.0
55009002001,OBESITY,41.1,36.4,46.3
55003950400,OBESITY,42.0,35.2,48.9
55005001001,OBESITY,38.3,32.1,44.6
55003950300,OBESITY,39.1,32.6,45.4
55007960600,OBESITY,38.2,31.9,44.5
55009000303,OBESITY,45.2,40.1,50.4
55009020502,OBESITY,42.9,37.9,47.9
55003950600,OBESITY,41.0,34.2,47.8
55009002003,OBESITY,39.3,34.4,44.5
55007960300,OBESITY,38.1,32.3,44.6
55003950500,OBESITY,39.9,33.3,46.5
55009020506,OBESITY,41.0,36.0,46.4
55009020702,OBESITY,38.3,33.5,43.5
55005000800,OBESITY,38.3,32.1,44.9
55005000100,OBESITY,38.1,32.0,44.5
55009010100,OBESITY,38.3,33.5,43.5
55003950800,OBESITY,42.7,35.9,49.4
55005000500,OBESITY,38.6,32.2,44.8
55009020203,OBESITY,39.1,34.2,44.2
55005000602,OBESITY,36.7,30.6,42.8
55009020703,OBESITY,41.2,36.3,46.5
55009020504,OBESITY,37.9,33.1,43.2
55009020100,OBESITY,40.2,35.2,45.4
55009020505,OBESITY,38.8,33.9,43.8
55007960200,OBESITY,38.5,32.3,44.8
55003950700,OBESITY,40.4,33.9,47.2
55009000800,OBESITY,46.7,41.9,51.8
55001950502,OBESITY,42.8,35.1,50.5
55005000601,OBESITY,37.3,31.2,43.5
55009001702,OBESITY,43.3,38.5,48.4
55001950700,OBESITY,39.4,32.0,47.1
55001950204,OBESITY,40.7,32.9,48.5
55009010300,OBESITY,40.4,35.7,45.4
55001950400,OBESITY,42.5,34.6,50.2
55017010100,OBESITY,40.2,34.1,46.8
55055100301,OBESITY,40.3,34.2,46.7
55025010400,OBESITY,33.5,29.2,37.7
55027960600,OBESITY,42.3,35.9,48.8
55059000501,OBESITY,38.5,32.6,44.3
55035000700,OBESITY,29.9,24.4,35.5
55025000410,OBESITY,28.7,24.8,32.5
55059000900,OBESITY,47.3,41.2,53.3
55025012700,OBESITY,34.2,29.9,38.4
55009940002,OBESITY,39.6,34.8,44.7
55039041902,OBESITY,44.1,38.1,50.2
55039040200,OBESITY,47.5,41.5,53.7
55059001500,OBESITY,41.8,36.1,47.9
55055100900,OBESITY,41.2,35.0,47.5
55013970800,OBESITY,41.0,33.7,48.3
55033970801,OBESITY,34.3,27.3,41.3
55025012002,OBESITY,33.0,28.8,37.2
55025011406,OBESITY,31.2,27.2,35.4
55025003100,OBESITY,35.6,31.0,40.0
55025013100,OBESITY,35.7,31.5,40.2
55025013302,OBESITY,34.7,30.5,39.1
55025010300,OBESITY,32.6,28.4,36.8
55025011403,OBESITY,32.4,28.2,36.6
55033970100,OBESITY,41.8,35.0,49.0
55033970300,OBESITY,40.2,33.5,47.3
55025011600,OBESITY,32.7,28.5,37.0
55011960200,OBESITY,40.9,33.7,49.7
55053960500,OBESITY,39.4,32.1,47.3
55055100302,OBESITY,41.9,35.8,48.1
55013970600,OBESITY,40.5,33.3,47.9
55025010903,OBESITY,28.3,24.8,32.3
55059000102,OBESITY,41.6,35.9,47.5
55021971000,OBESITY,34.0,27.2,40.8
55035000301,OBESITY,30.8,25.6,36.4
55025001603,OBESITY,32.6,28.0,37.4
55039042200,OBESITY,44.3,38.5,50.3
55025010600,OBESITY,33.0,28.8,37.3
55043960200,OBESITY,44.4,37.6,51.3
55055101201,OBESITY,41.9,35.5,48.3
55027961700,OBESITY,41.8,35.5,48.1
55029100900,OBESITY,38.3,31.1,45.9
55047100300,OBESITY,40.5,33.0,48.6
55025002700,OBESITY,34.2,29.9,38.8
55059000502,OBESITY,38.3,32.6,44.4
