district_code,school_code,school_name,enrollment,chronic_absence_rate,pct_econ_disadvantaged,pct_students_with_disabilities,pct_ell,pct_white,pct_black,pct_hispanic
0007,,[Districtwide],798,,72.06,18.42,44.49,34.84,0.75,62.78
0014,,[Districtwide],1315,,66.62,23.04,1.60,82.89,1.22,9.13
8022,,[Districtwide],103,,,13.59,,86.41,0.97,6.80
0063,,[Districtwide],271,,32.47,16.97,2.21,90.04,2.21,5.54
0070,,[Districtwide],664,,48.64,17.02,3.16,87.50,1.05,7.53
0084,,[Districtwide],238,,40.34,18.91,,92.02,,5.46
0091,,[Districtwide],587,,57.75,15.67,4.94,81.09,0.34,13.29
0105,,[Districtwide],376,,50.27,15.96,10.90,74.20,0.53,22.87
0112,,[Districtwide],1891,,36.07,17.19,2.91,83.45,1.80,5.66
0119,,[Districtwide],1397,,43.02,14.75,1.29,90.55,0.86,3.79
0140,,[Districtwide],2037,,59.94,16.69,2.11,84.09,1.28,7.02
0147,,[Districtwide],15270,,43.31,16.27,10.30,63.08,5.05,12.59
0154,,[Districtwide],1283,,78.41,12.55,40.76,21.90,0.16,76.93
0161,,[Districtwide],293,,42.66,17.41,,92.15,,2.39
2450,,[Districtwide],2086,,8.58,8.01,0.53,87.30,0.96,4.99
0170,,[Districtwide],1855,,66.74,14.93,0.43,66.20,0.75,4.37
0182,,[Districtwide],3215,,36.83,11.23,3.17,75.27,3.02,7.28
0196,,[Districtwide],452,,32.30,13.27,1.77,88.72,,7.30
0203,,[Districtwide],850,,,12.12,1.65,92.00,0.35,5.18
0217,,[Districtwide],604,,47.35,21.36,0.17,92.72,0.83,3.31
0231,,[Districtwide],1741,,25.85,17.52,1.90,90.64,0.57,4.65
0245,,[Districtwide],639,,28.17,11.42,1.88,89.36,0.63,4.23
0280,,[Districtwide],2701,,49.17,15.62,2.59,78.42,1.55,10.40
0287,,[Districtwide],431,,14.85,9.28,0.93,95.13,0.70,2.78
0308,,[Districtwide],1119,,54.42,15.01,10.37,71.58,10.81,10.19
0315,,[Districtwide],426,,64.08,23.00,0.70,17.14,0.47,8.69
0336,,[Districtwide],3173,,48.00,14.56,6.81,70.94,1.99,20.80
4263,,[Districtwide],235,,67.23,23.40,,91.91,1.70,2.98
0350,,[Districtwide],911,,19.32,11.75,3.18,84.19,1.32,8.56
0364,,[Districtwide],405,,35.06,10.86,6.42,86.17,,11.60
0413,,[Districtwide],5165,,72.12,17.02,17.85,31.98,21.32,35.59
0422,,[Districtwide],1631,,43.78,10.79,1.35,74.25,1.78,14.35
0427,,[Districtwide],224,,43.30,16.07,,91.52,,5.80
0434,,[Districtwide],1333,,47.49,21.31,3.83,74.87,0.38,17.85
6013,,[Districtwide],456,,34.65,13.82,5.48,73.03,1.32,22.81
0441,,[Districtwide],267,,53.18,17.98,,90.26,0.37,4.12
2240,,[Districtwide],359,,50.70,15.60,0.56,95.82,1.39,1.95
0476,,[Districtwide],1572,,59.10,19.97,,67.81,1.15,3.50
0485,,[Districtwide],632,,49.53,18.51,1.58,89.40,0.32,6.80
0497,,[Districtwide],1263,,34.60,13.22,0.16,96.20,1.27,1.11
0602,,[Districtwide],745,,40.94,13.83,2.55,87.38,0.81,5.50
0609,,[Districtwide],703,,56.47,21.05,0.28,95.31,0.71,2.28
0623,,[Districtwide],309,,71.20,21.68,0.97,41.75,0.97,8.09
0637,,[Districtwide],692,,43.64,15.61,1.16,91.33,0.87,5.78
0657,,[Districtwide],198,,19.19,5.56,1.01,88.89,,9.60
0658,,[Districtwide],947,,31.78,12.35,5.70,82.15,1.48,11.30
0665,,[Districtwide],782,,18.16,9.97,2.17,84.27,1.02,8.44
0700,,[Districtwide],1016,,47.54,14.67,1.67,88.19,1.87,7.48
0721,,[Districtwide],1655,,57.46,11.96,5.20,14.38,54.56,8.22
0735,,[Districtwide],410,,57.07,19.27,0.98,92.44,0.24,2.93
0777,,[Districtwide],2922,,32.44,17.15,4.55,80.12,1.37,13.48
0840,,[Districtwide],194,,58.25,19.59,,96.91,,
0870,,[Districtwide],807,,48.45,14.25,0.62,96.53,0.25,1.86
0882,,[Districtwide],309,,42.39,17.48,4.85,81.55,0.97,15.53
0896,,[Districtwide],915,,22.62,17.49,1.75,91.58,0.44,3.06
0903,,[Districtwide],1151,,44.83,13.03,0.26,91.66,0.78,3.56
0910,,[Districtwide],1338,,26.76,14.57,1.27,90.13,0.45,5.90
8027,,[Districtwide],409,,,12.22,45.48,3.91,8.31,85.82
0980,,[Districtwide],625,,37.60,17.76,4.64,88.48,0.64,10.24
