tract2010,tract2020,weight,allocated_pop2010,method
55001950100,55001950100,1.00000000,2973.00,population
55001950201,55001950201,0.99709935,1375.00,population
55001950201,55001950400,0.00290065,4.00,population
55001950202,55001950203,0.35228123,942.00,population
55001950202,55001950204,0.64771877,1732.00,population
55001950400,55001950201,0.00011974,0.57,population
55001950400,55001950400,0.99987998,4766.43,population
55001950400,55001950501,0.00000028,0.00,population
55001950501,55001950501,0.99982700,1468.75,population
55001950501,55001950502,0.00017300,0.25,population
55001950502,55001950502,1.00000000,4112.00,population
55001950700,55001950502,0.00052324,1.83,population
55001950700,55001950700,0.99946793,3499.14,population
55001950700,55057100700,0.00000883,0.03,population
55003940000,55003940000,1.00000000,1867.00,population
55003950300,55003950300,0.99997820,2695.94,population
55003950300,55003950800,0.00002180,0.06,population
55003950400,55003950400,0.99996522,2409.92,population
55003950400,55007960402,0.00003478,0.08,population
55003950500,55003940000,0.01681054,37.00,population
55003950500,55003950500,0.98318946,2164.00,population
55003950600,55003950600,1.00000000,1391.00,population
55003950700,55003950700,1.00000000,2206.00,population
55003950800,55003950800,1.00000000,3386.00,population
55003990000,55003990000,1.00000000,0.00,area
55005000100,55005000100,1.00000000,3829.00,population
55005000200,55005000200,1.00000000,3933.00,population
55005000300,55005000300,1.00000000,4215.00,population
55005000400,55005000400,0.99999601,5464.98,population
55005000400,55005000500,0.00000399,0.02,population
55005000500,55005000500,1.00000000,4242.00,population
55005000600,55005000601,0.33953413,2099.00,population
55005000600,55005000602,0.66046587,4083.00,population
55005000800,55005000800,1.00000000,5435.00,population
55005000900,55005000900,1.00000000,5123.00,population
55005001001,55005001001,1.00000000,1874.00,population
55005001002,55005001003,0.28158650,1569.00,population
55005001002,55005001004,0.71841350,4003.00,population
55007960100,55007960100,1.00000000,2713.00,population
55007960200,55007960200,1.00000000,1679.00,population
55007960300,55007960300,1.00000000,3661.00,population
55007960400,55007960401,0.37149817,1830.00,population
55007960400,55007960402,0.62850183,3096.00,population
55007960600,55007960600,1.00000000,2035.00,population
55007990000,55007990000,1.00000000,0.00,area
55009000100,55009000100,1.00000000,2690.00,population
55009000200,55009000200,1.00000000,5963.00,population
55009000302,55009000302,1.00000000,4553.00,population
55009000303,55009000303,1.00000000,2811.00,population
55009000401,55009000401,1.00000000,4632.00,population
55009000402,55009000402,1.00000000,2343.00,population
55009000500,55009000500,1.00000000,2953.00,population
55009000600,55009000600,1.00000000,4097.00,population
55009000700,55009000700,1.00000000,4945.00,population
55009000800,55009000800,1.00000000,1835.00,population
55009000900,55009000900,1.00000000,4029.00,population
55009001000,55009001000,1.00000000,1538.00,population
55009001100,55009001100,1.00000000,2081.00,population
55009001200,55009001200,1.00000000,2323.00,population
55009001300,55009001300,1.00000000,3022.00,population
55009001400,55009001400,1.00000000,3804.00,population
55009001600,55009001600,0.99143069,6449.26,population
55009001600,55009020704,0.00856931,55.74,population
55009001701,55009001701,1.00000000,3528.00,population
55009001702,55009001702,1.00000000,3529.00,population
55009001801,55009001801,1.00000000,4971.00,population
55009001802,55009001802,1.00000000,5449.00,population
55009002001,55009002001,1.00000000,8222.00,population
55009002002,55009002002,0.99717050,5142.41,population
55009002002,55009020704,0.00282950,14.59,population
55009002003,55009002003,1.00000000,3278.00,population
55009010100,55009010100,1.00000000,6254.00,population
55009010201,55009010201,0.99712683,4567.84,population
55009010201,55009021303,0.00287317,13.16,population
55009010202,55009010202,1.00000000,5002.00,population
55009010300,55009010100,0.00565873,39.00,population
55009010300,55009010300,0.99408740,6851.25,population
55009010300,55009020702,0.00025387,1.75,population
55009020100,55009001802,0.01701297,96.04,population
55009020100,55009020100,0.98298703,5548.96,population
55009020203,55009020203,1.00000000,6367.00,population
55009020204,55009020204,0.99884280,4973.24,population
55009020204,55009020506,0.00099395,4.95,population
55009020204,55009021600,0.00016325,0.81,population
55009020502,55009000100,0.00002840,0.15,population
55009020502,55009020502,0.99949716,5303.33,population
55009020502,55009940003,0.00006067,0.32,population
55009020502,55009940005,0.00041377,2.20,population
55009020503,55009020502,0.00213987,16.49,population
55009020503,55009020505,0.63705546,4908.51,population
55009020503,55009020506,0.36080467,2780.00,population
55009020504,55009020504,0.99999725,4387.99,population
55009020504,55009020505,0.00000275,0.01,population
55009020600,55009020600,0.99999934,5172.00,population
55009020600,55009020702,0.00000066,0.00,population
55009020702,55009010300,0.00001590,0.09,population
55009020702,55009020702,0.99948377,5880.96,population
55009020702,55009020703,0.00050033,2.94,population
55009020703,55009002003,0.00994062,69.22,population
55009020703,55009020703,0.99005938,6893.78,population
55009020704,55009001600,0.00857205,66.09,population
55009020704,55009002002,0.00089496,6.90,population
55009020704,55009020704,0.99028152,7635.07,population
55009020704,55009020800,0.00019803,1.53,population
55009020704,55009020900,0.00004649,0.36,population
55009020704,55009021200,0.00000695,0.05,population
55009020800,55009020800,1.00000000,2230.00,population
55009020900,55009020900,1.00000000,2771.00,population
55009021000,55009021000,1.00000000,2731.00,population
55009021100,55009980000,1.00000000,1092.00,population
55009021200,55009021200,1.00000000,5151.00,population
55009021301,55009021301,1.00000000,3305.00,population
55009021302,55009021302,1.00000000,6183.00,population
55009021303,55009000800,0.00216313,8.56,population
55009021303,55009010201,0.00122711,4.85,population
55009021303,55009021303,0.99660975,3941.59,population
55009021304,55009021304,1.00000000,2117.00,population
